datetime,region,lat,lon,CSR,JPL,GFZ
1/1/2014,Nura,48.53,71.23,0.032170795,0.025718484,0.02102431
2/1/2014,Nura,48.53,71.23,0.025720384,0.010523438,0.013905661
3/1/2014,Nura,48.53,71.23,0.004367756,0.00501303,0.006692801
4/1/2014,Nura,48.53,71.23,-0.019800778,-0.012447592,-0.006999252
5/1/2014,Nura,48.53,71.23,-0.025350826,-0.031631064,-0.024791354
6/1/2014,Nura,48.53,71.23,-0.020330843,-0.02364391,-0.02705237
7/1/2014,Nura,48.53,71.23,-0.012576717,-0.008423502,-0.01800048
8/1/2014,Nura,48.53,71.23,-0.023022668,-0.015947673,-0.025192646
9/1/2014,Nura,48.53,71.23,-0.000137196,0.004457869,0.004030523
10/1/2014,Nura,48.53,71.23,0.03036904,0.031868782,0.034555156
11/1/2014,Nura,48.53,71.23,0.024489459,0.032086506,0.021764975
12/1/2014,Nura,48.53,71.23,0.021435067,0.032823034,0.014865501
1/1/2015,Nura,48.53,71.23,-0.004910979,-0.009383851,0.013550517
2/1/2015,Nura,48.53,71.23,0.002020726,-0.003522407,0.011277817
3/1/2015,Nura,48.53,71.23,0.029265849,0.02188193,0.02231619
4/1/2015,Nura,48.53,71.23,0.013277445,-0.008656731,0.011418313
5/1/2015,Nura,48.53,71.23,-0.023167364,-0.018774532,-0.02678042
6/1/2015,Nura,48.53,71.23,-0.0496564,-0.02101766,-0.04208519
7/1/2015,Nura,48.53,71.23,-0.025223587,-0.020899935,-0.034739714
8/1/2015,Nura,48.53,71.23,-0.017578436,-0.023520276,-0.01179748
9/1/2015,Nura,48.53,71.23,-0.00050483,-0.004970321,0.012535303
10/1/2015,Nura,48.53,71.23,0.033356432,0.016317697,0.021271328
11/1/2015,Nura,48.53,71.23,0.033356432,0.0163177,0.021271328
12/1/2015,Nura,48.53,71.23,0.033677418,0.033475187,0.037445333
1/1/2016,Nura,48.53,71.23,0.020220324,0.03994873,0.040166818
2/1/2016,Nura,48.53,71.23,0.009756174,0.012273256,0.011686739
3/1/2016,Nura,48.53,71.23,-0.002880462,-0.010862455,-0.014764577
4/1/2016,Nura,48.53,71.23,-0.01883102,-0.017006636,-0.026188333
5/1/2016,Nura,48.53,71.23,-0.023795974,-0.015398901,-0.021906236
6/1/2016,Nura,48.53,71.23,-0.018451083,-0.010584816,-0.007241499
7/1/2016,Nura,48.53,71.23,-0.00250474,-0.008612774,0.001384292
8/1/2016,Nura,48.53,71.23,0.000601669,-0.000795366,-0.001068769
9/1/2016,Nura,48.53,71.23,-0.001928419,0.00825635,-0.001764974
10/1/2016,Nura,48.53,71.23,-0.001928419,0.00825635,-0.001764974
11/1/2016,Nura,48.53,71.23,0.029503163,0.027617846,0.039346125
12/1/2016,Nura,48.53,71.23,0.04096301,0.033862464,0.022173293
1/1/2017,Nura,48.53,71.23,0.01116924,0.011734594,0.016789325
2/1/2017,Nura,48.53,71.23,0.001347203,0.002723593,0.069689296
3/1/2017,Nura,48.53,71.23,-0.001161888,-0.007351153,0.015585624
4/1/2017,Nura,48.53,71.23,-0.018629782,-0.023986265,-0.05534141
5/1/2017,Nura,48.53,71.23,-0.009063039,-0.018783554,-0.04774244
6/1/2018,Nura,48.53,71.23,0.000309378,-0.005779751,-0.003887771
7/1/2018,Nura,48.53,71.23,-0.001370207,-0.0095235,-0.004645949
8/1/2018,Nura,48.53,71.23,-0.006879153,-0.008962592,-0.006257223
9/1/2018,Nura,48.53,71.23,-0.006879153,-0.008962592,-0.006257222
10/1/2018,Nura,48.53,71.23,-0.001676244,0.002436305,-0.001921892
11/1/2018,Nura,48.53,71.23,0.023915045,0.02743854,0.024275783
12/1/2018,Nura,48.53,71.23,0.020543002,0.024570085,0.029449757
1/1/2019,Nura,48.53,71.23,0.007018674,0.01602327,0.022297919
2/1/2019,Nura,48.53,71.23,0.019146707,0.016310122,0.018542666
3/1/2019,Nura,48.53,71.23,0.006990463,-0.000471279,-0.006135281
4/1/2019,Nura,48.53,71.23,-0.015223727,-0.017198008,-0.019779038
5/1/2019,Nura,48.53,71.23,-0.028256766,-0.02983566,-0.025007151
6/1/2019,Nura,48.53,71.23,-0.03205766,-0.03029821,-0.030233074
7/1/2019,Nura,48.53,71.23,-0.020433433,-0.02102939,-0.022506269
8/1/2019,Nura,48.53,71.23,-0.011791824,-0.010052473,-0.019989787
9/1/2019,Nura,48.53,71.23,-0.002882626,-0.004076285,-0.007149647
10/1/2019,Nura,48.53,71.23,0.01827264,0.01767375,0.02331141
11/1/2019,Nura,48.53,71.23,0.023749925,0.026950138,0.0303491
12/1/2019,Nura,48.53,71.23,0.021737862,0.02319582,0.018920774
1/1/2020,Nura,48.53,71.23,,,
